"Source:","/home/jarin/storage/main/backup_mg/works/nvm/pcb/rnvm_lisa/rnvm_lisa.kicad_sch"
"Date:","Sat 14 May 2022 11:26:36 PM CEST"
"Tool:","Eeschema 6.0.5-a6ca702e91~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","50"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","PN","comment","link","supplier"
"","","C1","100u","Device:C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-7132-28_AVX-C_Pad2.72x3.50mm_HandSolder","~","T491C107K010AT","","","TME"
"","","C2","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CL21B105KAFNNNG","","","TME"
"","","C3","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CL21B105KAFNNNG","","","TME"
"","","C4","22p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","VJ0805A220JXACW1BC","","","TME"
"","","C5","22p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","VJ0805A220JXACW1BC","","","TME"
"","","C6","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CL21B105KAFNNNG","","","TME"
"","","C7","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CL21B105KAFNNNG","","","TME"
"","","C8","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CL21B105KAFNNNG","","","TME"
"","","C9","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CL21B105KAFNNNG","","","TME"
"","","C10","470p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","VJ0805Y471KXACW1BC","","","TME"
"","","C11","22p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","VJ0805A220JXACW1BC","","","TME"
"","","C12","22p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","VJ0805A220JXACW1BC","","","TME"
"","","D1","BAV99","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf","BAV99","","","TME"
"","","D2","SM6T6V8A","Diode:SM6T6V8A","Diode_SMD:D_SMB","https://www.st.com/resource/en/datasheet/sm6t.pdf","SM6T6V8A","","","TME"
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","","","DNP",""
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","","","DNP",""
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","","","DNP",""
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","","","DNP",""
"","","J1","Centronics 24, socket","Connector_Generic:Conn_02x12_Top_Bottom","j_lib:CENTR_24P_F","~","","","https://www.aliexpress.com/item/32795413098.html",""
"","","J2","IDC_6pin","Connector_Generic:Conn_02x03_Odd_Even","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical","~","75869-331LF","","","TME"
"","","J3","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~","NS25-W2P","","","TME"
"","","J4","USB_B","Connector:USB_B","Connector_USB:USB_B_Lumberg_2411_02_Horizontal"," ~","TUEB4F2D0B","","","TME"
"","","J5","IDC_16","Connector_Generic:Conn_02x08_Odd_Even","Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical","~","T821-1-16-S1","","","TME"
"","","LOGO1","PCB logo","j_lib:logo_generic","j_lib:logo_rpg7x9","","","","DNP",""
"","","R1","12k","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C1203","","","TME"
"","","R2","120R","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C1200","","","TME"
"","","R3","120R","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C1200","","","TME"
"","","R4","120R","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C1200","","","TME"
"","","R5","12k","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C1203","","","TME"
"","","R6","12k","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C1203","","","TME"
"","","R7","2k4","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C2402","","","TME"
"","","R8","3k9","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C3902","","","TME"
"","","R9","12k","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C1203","","","TME"
"","","R10","39k","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C3903","","","TME"
"","","R11","3k9","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C3902","","","TME"
"","","R12","12k","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C1203","","","TME"
"","","R13","2k4","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C2402","","","TME"
"","","R14","3k9","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C3902","","","TME"
"","","R15","2k4","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C2402","","","TME"
"","","R16","2k4","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C2402","","","TME"
"","","R17","3k9","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C3902","","","TME"
"","","R18","3k9","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C3902","","","TME"
"","","U1","W5500_breakout","j_lib:W5500_bo","j_lib:W5500_bo","","","","W5500 breakout",""
"","","U2","75ALS160","j_lib:75160","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","","SN75ALS160DW","","","MOUSER"
"","","U3","AT90S4433","MCU_Microchip_ATmega:ATmega8A-A","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Microchip%208bit%20mcu%20AVR%20ATmega8A%20data%20sheet%2040001974A.pdf","AT90S4433","possible to use Atmega8","","NA"
"","","U4","74HCT08","74xx:74LS08","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","http://www.ti.com/lit/gpn/sn74LS08","74HCT08PW.112","","","TME"
"","","U5","75ALS161","j_lib:75161","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","","SN75ALS161DW ","","","MOUSER"
"","","U6","CH340G","Interface_USB:CH340G","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.datasheet5.com/pdf-local-2195953","CH340G","","","LCSC"
"","","Y1","7.3728MHz","Device:Crystal","Crystal:Crystal_SMD_HC49-SD","~","7.372M-SMDHC49S ","","","TME"
"","","Y2","12MHz","Device:Crystal","Crystal:Crystal_SMD_HC49-SD","~","12.00M-SMDHC49S","","","TME"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","PN","comment","link","supplier"
"1","1","C1","100u","Device:C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-7132-28_AVX-C_Pad2.72x3.50mm_HandSolder","~","T491C107K010AT","","","TME"
"2","6","C2, C3, C6, C7, C8, C9","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CL21B105KAFNNNG","","","TME"
"3","4","C4, C5, C11, C12","22p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","VJ0805A220JXACW1BC","","","TME"
"4","1","C10","470p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","VJ0805Y471KXACW1BC","","","TME"
"5","1","D1","BAV99","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf","BAV99","","","TME"
"6","1","D2","SM6T6V8A","Diode:SM6T6V8A","Diode_SMD:D_SMB","https://www.st.com/resource/en/datasheet/sm6t.pdf","SM6T6V8A","","","TME"
"7","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","","","DNP",""
"8","1","J1","Centronics 24, socket","Connector_Generic:Conn_02x12_Top_Bottom","j_lib:CENTR_24P_F","~","","","https://www.aliexpress.com/item/32795413098.html",""
"9","1","J2","IDC_6pin","Connector_Generic:Conn_02x03_Odd_Even","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical","~","75869-331LF","","","TME"
"10","1","J3","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~","NS25-W2P","","","TME"
"11","1","J4","USB_B","Connector:USB_B","Connector_USB:USB_B_Lumberg_2411_02_Horizontal"," ~","TUEB4F2D0B","","","TME"
"12","1","J5","IDC_16","Connector_Generic:Conn_02x08_Odd_Even","Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical","~","T821-1-16-S1","","","TME"
"13","1","LOGO1","PCB logo","j_lib:logo_generic","j_lib:logo_rpg7x9","","","","DNP",""
"14","5","R1, R5, R6, R9, R12","12k","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C1203","","","TME"
"15","3","R2, R3, R4","120R","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C1200","","","TME"
"16","4","R7, R13, R15, R16","2k4","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C2402","","","TME"
"17","5","R8, R11, R14, R17, R18","3k9","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C3902","","","TME"
"18","1","R10","39k","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C3903","","","TME"
"19","1","U1","W5500_breakout","j_lib:W5500_bo","j_lib:W5500_bo","","","","W5500 breakout",""
"20","1","U2","75ALS160","j_lib:75160","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","","SN75ALS160DW","","","MOUSER"
"21","1","U3","AT90S4433","MCU_Microchip_ATmega:ATmega8A-A","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Microchip%208bit%20mcu%20AVR%20ATmega8A%20data%20sheet%2040001974A.pdf","AT90S4433","possible to use Atmega8","","NA"
"22","1","U4","74HCT08","74xx:74LS08","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","http://www.ti.com/lit/gpn/sn74LS08","74HCT08PW.112","","","TME"
"23","1","U5","75ALS161","j_lib:75161","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","","SN75ALS161DW ","","","MOUSER"
"24","1","U6","CH340G","Interface_USB:CH340G","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.datasheet5.com/pdf-local-2195953","CH340G","","","LCSC"
"25","1","Y1","7.3728MHz","Device:Crystal","Crystal:Crystal_SMD_HC49-SD","~","7.372M-SMDHC49S ","","","TME"
"26","1","Y2","12MHz","Device:Crystal","Crystal:Crystal_SMD_HC49-SD","~","12.00M-SMDHC49S","","","TME"
